c,h,energy,transient,seed_J,seed_x,n
1,-0.1,-0.7320890706387703,5.804,47249.668,51558.392,40.0
1,-0.08000000000000002,-0.7219594967230074,5.954,54405.346,49655.076,40.0
1,-0.060000000000000026,-0.7116774011690654,5.994,47345.998,48969.936,40.0
1,-0.040000000000000036,-0.7109469090943895,6.044,49738.386,52513.546,40.0
1,-0.020000000000000046,-0.6984395937624598,5.984,49136.232,49578.944,40.0
1,-5.551115123125783e-17,-0.6918212725335972,5.948,51226.486,50916.196,40.0
1,0.019999999999999934,-0.6917076996782049,6.058,46662.848,48501.842,40.0
1,0.020833333333333332,-0.6844554444745449,6.049,51362.126,50859.509,40.0
1,0.041666666666666664,-0.6807928147442744,5.999,49979.326,51076.431,40.0
1,0.0625,-0.670823965114693,6.044,50147.949,51045.66,40.0
1,0.08333333333333333,-0.6673801822113375,5.925,48927.781,51483.586,40.0
1,0.10416666666666666,-0.6615447695867024,5.957,50404.925,48980.983,40.0
1,0.125,-0.6552863530813051,5.866,50454.093,50001.763,40.0
1,0.14583333333333331,-0.6445620772873809,5.871,49784.391,50767.741,40.0
1,0.16666666666666666,-0.6443726895079555,5.899,50327.236,49422.449,40.0
1,0.1875,-0.6343332336211149,5.848,50370.119,51386.797,40.0
1,0.20833333333333331,-0.6284109640614933,5.709,47774.744,50379.629,40.0
1,0.22916666666666666,-0.6250324225388296,5.688,52131.625,50255.407,40.0
1,0.25,-0.619116182217591,5.678,50956.089,50114.019,40.0
1,0.2708333333333333,-0.611598857890502,5.622,50221.462,50887.263,40.0
1,0.29166666666666663,-0.6069864239820908,5.571,50013.008,51617.919,40.0
1,0.3125,-0.5983026335963676,5.485,50639.618,48343.267,40.0
1,0.3333333333333333,-0.5941944128725866,5.38,50833.617,49812.672,40.0
1,0.35416666666666663,-0.5879236588383648,5.347,49195.574,49770.354,40.0
1,0.375,-0.5814586077484633,5.154,48575.432,50384.643,40.0
1,0.3958333333333333,-0.5768375028806547,5.123,49585.411,49082.548,40.0
1,0.41666666666666663,-0.5727591705476506,4.969,50208.043,51500.795,40.0
1,0.4375,-0.5654010009171819,4.895,50746.078,49111.619,40.0
1,0.4583333333333333,-0.556570803894435,4.765,49941.879,50709.159,40.0
1,0.47916666666666663,-0.5549223840206517,4.694,50496.684,50091.7,40.0
1,0.5,-0.5460030820597337,4.545,50044.528,50933.453,40.0
2,0.020833333333333332,-0.042569742373367046,5.895,50750.771,49673.477,40.0
2,0.041666666666666664,-0.059401090042398255,5.968,49974.458,50028.768,40.0
2,0.0625,-0.08943394731754764,5.934,48921.118,50812.119,40.0
2,0.08333333333333333,-0.11200374965412727,5.903,50448.124,49561.422,40.0
2,0.10416666666666666,-0.13481859245404948,5.972,50435.719,49601.302,40.0
2,0.125,-0.1701647506148638,5.938,49197.069,50063.964,40.0
2,0.14583333333333331,-0.18647877007516364,5.965,50785.058,49073.226,40.0
2,0.16666666666666666,-0.19185867633876272,5.966,49887.675,52555.471,40.0
2,0.1875,-0.22886740531376157,5.897,48540.863,49344.465,40.0
2,0.20833333333333331,-0.24353759797514452,5.927,49842.791,51202.315,40.0
2,0.22916666666666666,-0.23468085795797355,5.901,49542.937,51405.614,40.0
2,0.25,-0.2632245564213553,5.899,51263.17,50346.954,40.0
2,0.2708333333333333,-0.270198945950229,5.876,50282.514,51125.88,40.0
2,0.29166666666666663,-0.27315255922911774,5.878,50964.332,50341.619,40.0
2,0.3125,-0.2754441791291732,5.791,50578.798,48456.74,40.0
2,0.3333333333333333,-0.28178681391057103,5.763,48813.189,49155.52,40.0
2,0.35416666666666663,-0.28169998053899126,5.786,49702.974,49195.203,40.0
2,0.375,-0.2894179602358128,5.71,49937.238,48911.265,40.0
2,0.3958333333333333,-0.28697091770411837,5.722,51765.806,50499.339,40.0
2,0.41666666666666663,-0.2825311288473986,5.641,49960.238,49064.359,40.0
2,0.4375,-0.288193569033185,5.574,48878.005,50136.032,40.0
2,0.4583333333333333,-0.2857796866634251,5.512,50021.059,50366.851,40.0
2,0.47916666666666663,-0.2982618283472679,5.534,50310.318,50429.049,40.0
2,0.5,-0.278937022405296,5.403,49994.01,52034.943,40.0
