c,h,energy,transient,seed_J,seed_x,n
1,-0.1,-0.6310917441819082,4.257,60046.0,51091.043,20.0
1,-0.08000000000000002,-0.6316046403520255,4.447,46683.52631578947,49743.874,20.0
1,-0.060000000000000026,-0.62832617036717,4.572,60205.04347826087,50158.373,20.0
1,-0.040000000000000036,-0.6315036930468327,4.663,41958.35135135135,48683.107,20.0
1,-0.020000000000000046,-0.6323743809624344,4.759,50194.085106382976,51925.739,20.0
1,-5.551115123125783e-17,-0.6318165194999975,4.864,46525.18461538461,49876.848,20.0
1,0.019999999999999934,-0.626961344830467,4.879,52121.0447761194,50775.304,20.0
1,0.020833333333333332,-0.629559161646208,4.815,49905.54285714286,51506.746,20.0
1,0.041666666666666664,-0.6282878978178414,4.92,52058.65957446808,49018.826,20.0
1,0.0625,-0.6212130404903915,4.968,50727.71323529412,48406.608,20.0
1,0.08333333333333333,-0.6200763100378722,4.901,47536.68421052631,50012.91,20.0
1,0.10416666666666666,-0.618825615281765,4.947,47628.24137931035,48908.196,20.0
1,0.125,-0.6169152975125778,4.867,51165.76576576577,49940.315,20.0
1,0.14583333333333331,-0.6071673086744207,4.873,52856.24822695035,50892.483,20.0
1,0.16666666666666666,-0.6067029696014243,4.808,51224.9358974359,49760.0,20.0
1,0.1875,-0.5987361369673958,4.819,49997.857541899444,50059.229,20.0
1,0.20833333333333331,-0.5966380311096212,4.786,50063.26378896883,49818.457,20.0
1,0.22916666666666666,-0.5945107035800381,4.686,49866.79649890591,49148.327,20.0
1,0.25,-0.5891346132268747,4.679,51211.446247464504,49506.34,20.0
1,0.2708333333333333,-0.5888762367176226,4.641,50215.638790035584,49902.859,20.0
1,0.29166666666666663,-0.5789157962216229,4.509,48582.699499165275,49753.14,20.0
1,0.3125,-0.5730322866571111,4.46,49713.46859903382,49890.289,20.0
1,0.3333333333333333,-0.5714971967709246,4.387,50254.40113798009,49973.691,20.0
1,0.35416666666666663,-0.5638532271132614,4.306,51712.312335958006,49859.761,20.0
1,0.375,-0.5605953826180234,4.195,50779.96091644205,50190.746,20.0
1,0.3958333333333333,-0.5472563610441258,4.136,49651.73173803526,50655.891,20.0
1,0.41666666666666663,-0.5483231471316808,4.146,49567.32653061225,51632.146,20.0
1,0.4375,-0.5445789850559217,4.011,48819.59718969555,51559.181,20.0
1,0.4583333333333333,-0.5396816726599248,3.912,49578.15511551155,49268.177,20.0
1,0.47916666666666663,-0.535152638803133,3.871,48712.59405940594,50199.178,20.0
1,0.5,-0.5279700513086165,3.768,50969.46895074946,50575.73,20.0
2,0.020833333333333332,0.030643140707585777,5.169,50666.96531791907,50183.038,20.0
2,0.041666666666666664,-0.0025346971930098193,5.172,48096.8335832084,50202.029,20.0
2,0.0625,-0.03069553768627326,5.196,50045.0366568915,51033.718,20.0
2,0.08333333333333333,-0.03416763745880697,5.153,48968.94254658385,48826.966,20.0
2,0.10416666666666666,-0.04871166688348605,5.106,50315.00702987698,50138.705,20.0
2,0.125,-0.0583572178337579,5.096,50289.82847341338,50561.985,20.0
2,0.14583333333333331,-0.09298731619390256,5.097,49912.85458167331,49817.094,20.0
2,0.16666666666666666,-0.11258319516022113,5.048,50737.4012345679,49530.362,20.0
2,0.1875,-0.10552608602963409,5.104,48736.01116071428,49440.391,20.0
2,0.20833333333333331,-0.12108391776146452,5.091,49009.50851581508,50321.575,20.0
2,0.22916666666666666,-0.1261174144649794,5.034,51042.32872928177,50190.065,20.0
2,0.25,-0.13746556382429884,4.976,51114.01169590643,49386.51,20.0
2,0.2708333333333333,-0.15380997179837524,5.049,51216.71777003484,50508.895,20.0
2,0.29166666666666663,-0.15153235628496547,4.92,50748.88771929825,49520.018,20.0
2,0.3125,-0.13869694400932067,4.988,49898.13392857143,50585.041,20.0
2,0.3333333333333333,-0.16005920323788894,4.834,51966.38116591928,48123.719,20.0
2,0.35416666666666663,-0.1513726031281851,4.823,50980.50279329609,50757.338,20.0
2,0.375,-0.1531845686820119,4.819,48142.955882352944,50047.938,20.0
2,0.3958333333333333,-0.15870053272919576,4.717,46877.78151260504,50217.658,20.0
2,0.41666666666666663,-0.17195151977248127,4.669,48958.794117647056,49680.418,20.0
2,0.4375,-0.15082726753497713,4.592,47173.988764044945,50058.255,20.0
2,0.4583333333333333,-0.1602856091956324,4.626,49654.94047619047,49849.79,20.0
2,0.47916666666666663,-0.1598614684931369,4.53,42510.403846153844,49098.891,20.0
2,0.5,-0.1690047698621574,4.425,58113.5,48928.678,20.0
