n,h,energy,transient,c,seed_J,seed_x,not_converged,c1,c2,clarge
200,0.1,-0.4436536911689388,249.725,1.04375,50656.58125,50363.6875,0.0,0.95625,0.04375,0.0
200,0.3538461538461538,-0.6817272740083509,83.61875,1.45,52276.38125,51570.85625,0.0,0.65625,0.2875,0.05625
200,0.6076923076923076,-0.6930880235046667,50.2125,1.7875,49134.10625,49198.8125,0.0,0.4875,0.40625,0.10625
200,0.8615384615384615,-0.6903334304104314,44.49375,1.9875,49700.5375,47090.975,0.0,0.225,0.6875,0.0875
200,1.1153846153846154,-0.6737026697934327,44.8125,2.73125,52940.31875,48129.44375,0.0,0.01875,0.7375,0.24375
200,1.3692307692307693,-0.6532930896574598,48.6375,2.90625,51014.0125,49651.23125,0.0,0.03125,0.70625,0.2625
200,1.623076923076923,-0.6204254459625538,70.8375,3.85,47857.425,47474.5625,0.0,0.0,0.68125,0.31875
200,1.876923076923077,-0.5598560808505288,97.63125,5.8625,47656.58125,48720.475,0.0,0.0,0.50625,0.49375
200,2.1307692307692307,-0.4758814172557734,172.675,9.6125,50836.0,49236.3375,0.0,0.0,0.46875,0.53125
200,2.3846153846153846,-0.36713940177674814,372.8375,27.635220125786162,50629.58125,52497.2375,0.00625,0.0,0.39375,0.6
200,2.6384615384615384,-0.21896802981089167,614.64375,30.15286624203822,51339.01875,50593.99375,0.01875,0.0,0.3625,0.61875
200,2.8923076923076922,-0.11985419547437495,262.24375,29.645569620253166,44045.225,49492.96875,0.0125,0.0,0.4625,0.525
200,3.146153846153846,-0.026212204192987483,58.55625,15.1125,49593.93125,51455.51875,0.0,0.0,0.625,0.375
200,3.4,-0.027660418208682702,29.0,2.625,50467.94375,48118.7125,0.0,0.0,0.8375,0.1625
200,3.6538461538461537,0.002603768759325387,21.44375,2.225,49340.91875,55681.575,0.0,0.0,0.90625,0.09375
200,3.9076923076923076,-0.007542885614404965,19.18125,2.1125,50312.24375,51045.06875,0.0,0.0,0.94375,0.05625
200,4.161538461538461,-0.007092769492174749,17.6375,2.0,48572.29375,46120.86875,0.0,0.0,1.0,0.0
200,4.415384615384615,-0.004659303904371814,18.525,2.0375,48508.01875,51002.24375,0.0,0.0,0.98125,0.01875
200,4.669230769230769,-0.004154573467219156,18.23125,2.025,49489.525,46632.1125,0.0,0.0,0.9875,0.0125
