n,h,energy,transient,c,seed_J,seed_x,not_converged,c1,c2,clarge
200,0.1,-0.4640830043724049,246.0,1.0,50322.5,50507.5,0.0,1.0,0.0,0.0
200,0.3538461538461538,-0.6856738745441823,83.0,1.0,55206.5,53181.0,0.0,1.0,0.0,0.0
200,0.6076923076923076,-0.6951685890036943,47.0,2.0,49325.0,46000.5,0.0,0.0,0.0,0.0
200,0.8615384615384615,-0.6882109976477637,39.0,2.0,49680.5,44988.0,0.0,0.0,1.0,0.0
200,1.1153846153846154,-0.6729639400695043,39.0,2.0,52265.0,47870.5,0.0,0.0,1.0,0.0
200,1.3692307692307693,-0.653023189037822,40.0,2.0,50419.0,48709.5,0.0,0.0,1.0,0.0
200,1.623076923076923,-0.6201314500873935,49.0,2.0,45952.0,45253.0,0.0,0.0,1.0,0.0
200,1.876923076923077,-0.5532173596718968,58.5,2.0,45720.5,51030.5,0.0,0.0,1.0,0.0
200,2.1307692307692307,-0.4756421997693738,85.0,4.0,50110.0,45868.0,0.0,0.0,0.0,1.0
200,2.3846153846153846,-0.3651012038195301,112.0,4.0,52406.0,51810.0,0.0,0.0,0.0,1.0
200,2.6384615384615384,-0.23308026800520615,89.5,4.0,53387.5,49885.5,0.0,0.0,0.0,1.0
200,2.8923076923076922,-0.12734200170919913,51.0,4.0,40841.5,51208.5,0.0,0.0,0.0,1.0
200,3.146153846153846,-0.04403481081685007,35.0,2.0,49391.0,55124.0,0.0,0.0,1.0,0.0
200,3.4,-0.024231194599249422,23.0,2.0,46125.0,46002.0,0.0,0.0,1.0,0.0
200,3.6538461538461537,0.018005641829922696,21.0,2.0,47367.5,58977.5,0.0,0.0,1.0,0.0
200,3.9076923076923076,0.010749347013756693,18.5,2.0,49602.0,53427.0,0.0,0.0,1.0,0.0
200,4.161538461538461,0.0022525212964908505,17.0,2.0,44541.5,44450.5,0.0,0.0,1.0,0.0
200,4.415384615384615,-0.005094139354802624,17.0,2.0,47881.0,51406.0,0.0,0.0,1.0,0.0
200,4.669230769230769,0.012150764677440841,17.0,2.0,51077.0,42533.5,0.0,0.0,1.0,0.0
200,4.9230769230769225,2.338341032453756e-05,17.0,2.0,44504.0,44570.0,0.0,0.0,1.0,0.0
200,5.176923076923076,0.002360551644099005,17.0,2.0,52181.0,55170.0,0.0,0.0,1.0,0.0
200,5.43076923076923,-0.020225187815732706,17.0,2.0,50162.0,47111.0,0.0,0.0,1.0,0.0
200,5.684615384615384,0.011645539851428185,17.0,2.0,51291.0,58271.0,0.0,0.0,1.0,0.0
200,5.938461538461538,0.04054359738065305,17.0,2.0,48954.5,48434.0,0.0,0.0,1.0,0.0
200,6.192307692307692,0.013199682451066768,16.0,2.0,51269.5,48226.5,0.0,0.0,1.0,0.0
200,6.4461538461538455,0.010605738806092346,17.0,2.0,53711.0,44454.0,0.0,0.0,1.0,0.0
200,6.699999999999999,0.025349946754653206,17.0,2.0,54718.5,45067.0,0.0,0.0,1.0,0.0
200,6.953846153846153,0.008794535624022265,15.0,2.0,48707.0,46654.5,0.0,0.0,1.0,0.0
200,7.207692307692307,-0.01394991953205436,18.0,2.0,55051.5,47403.0,0.0,0.0,1.0,0.0
200,7.461538461538461,-0.007456104215254502,17.0,2.0,44867.0,53966.0,0.0,0.0,1.0,0.0
200,7.715384615384615,0.041669255365882056,17.0,2.0,49117.0,50985.0,0.0,0.0,1.0,0.0
200,7.9692307692307685,0.028213078720516472,17.0,2.0,47383.5,48673.5,0.0,0.0,1.0,0.0
200,8.223076923076922,0.010924039759850478,17.0,2.0,58997.0,51568.5,0.0,0.0,1.0,0.0
200,8.476923076923077,0.010418428185680338,17.0,2.0,50767.5,53484.0,0.0,0.0,1.0,0.0
200,8.73076923076923,-0.006348676138464002,17.0,2.0,46894.5,54152.5,0.0,0.0,1.0,0.0
200,8.984615384615383,-0.00898375017985146,15.0,2.0,51565.5,52452.5,0.0,0.0,1.0,0.0
200,9.238461538461538,-0.04207765535655315,17.0,2.0,53291.0,52169.0,0.0,0.0,1.0,0.0
200,9.492307692307692,-0.00015225160105783025,17.0,2.0,45235.5,48903.5,0.0,0.0,1.0,0.0
200,9.746153846153845,-0.010002856098225783,17.0,2.0,53014.5,50058.0,0.0,0.0,1.0,0.0
200,10.0,-0.016190719108500368,16.0,2.0,49332.0,49476.0,0.0,0.0,1.0,0.0
400,0.02,-0.004856516360129643,18.0,1.0,43749.5,53146.0,0.0,1.0,0.0,0.0
400,0.04,-0.17524788596883273,348.0,1.0,52531.0,49089.5,0.0,1.0,0.0,0.0
400,0.08,-0.6067705901329935,665.5,1.0,46270.5,51161.0,0.0,1.0,0.0,0.0
400,0.1,-0.6499151012456944,527.5,1.0,53058.5,54174.5,0.0,1.0,0.0,0.0
400,0.3538461538461538,-0.6977434164940897,99.0,1.0,51419.5,50946.0,0.0,1.0,0.0,0.0
400,0.6076923076923076,-0.701734640224718,66.0,2.0,49836.0,54878.5,0.0,0.0,1.0,0.0
400,0.8615384615384615,-0.6962901477046111,65.0,2.0,48782.0,48318.0,0.0,0.0,1.0,0.0
400,1.1153846153846154,-0.6820133309396674,63.0,2.0,45260.5,49543.5,0.0,0.0,1.0,0.0
400,1.3692307692307693,-0.6538151527744616,91.0,2.0,57525.5,47718.5,0.0,0.0,1.0,0.0
400,1.623076923076923,-0.6110853966387438,131.0,4.0,48569.0,58629.0,0.0,0.0,0.0,1.0
400,1.876923076923077,-0.5605233070309326,172.0,4.0,49812.0,54156.5,0.0,0.0,0.0,1.0
