n,energy,energy_samples,energy_std,t
74,-0.6431480656610556,10000,0.04683663563966956,28.3246
102,-0.6503829085933773,10000,0.04000740020351223,40.03
139,-0.6552977668445295,10000,0.03408575584477011,55.7098
191,-0.6612618822261994,10000,0.029412014582093512,78.5197
262,-0.6663175232924431,10000,0.025849572869846942,110.6907
358,-0.6704413072768349,10000,0.02210686793969868,155.1378
491,-0.6746602794485413,10000,0.018910240389026486,218.8537
672,-0.6783051356994705,10000,0.016388123959221665,307.451
920,-0.6818220406291428,10000,0.01417137814312155,433.494
1261,-0.6846673654144166,10000,0.01221726478224823,611.6933
1726,-0.6877994294535889,10000,0.01050090230689209,862.4062
2364,-0.6906220226835246,10000,0.009173920245804693,1217.8242
3237,-0.6930670857318016,10000,0.007913277864410824,1718.4345
4432,-0.6954238112846363,10000,0.006855227191416878,2425.2439
6086,-0.6975977183040907,10000,0.00582160341565969,3437.1615
8310,-0.699751118423474,10000,0.005137239738897758,4848.0641
11180,-0.7014834738740242,10000,0.004419277422355873,6719.5999
15581,-0.703349385915556,10000,0.003841330236229101,9695.6662
21335,-0.7049882303438819,10000,0.0033339688808482508,13704.6806
29213,-0.7065198864332727,6000,0.0029017796318985,19404.94
40000,-0.7079418394565549,10000,0.002497573088279827,27456.1016
