n,energy,energy_samples,energy_std,t
74,-0.6474266495809277,10000,0.04521426015104625,47.9285
102,-0.65519850812271,10000,0.03848946451385118,68.2745
139,-0.6619178762254085,10000,0.03278877401932797,95.7887
191,-0.6677316406669777,10000,0.028290717322032442,135.5978
262,-0.6730219380169297,10000,0.024106316165302996,191.3469
358,-0.6771509581754486,10000,0.02090465578467958,268.4153
491,-0.6815658288145557,10000,0.01803569071091509,378.5586
672,-0.6847953342924045,10000,0.015373910498776849,530.8631
920,-0.6878072765276925,10000,0.013369773225352941,744.7794
1261,-0.6906527198725495,10000,0.01152899184112916,1045.8421
1726,-0.6930923274814772,10000,0.009814319175249074,1464.7271
2364,-0.6953191858266172,10000,0.008440538172781167,2056.9457
3237,-0.6974974274209027,10000,0.007371991157599979,2880.2181
4432,-0.6994226812213451,10000,0.006347312766964788,4036.1658
6086,-0.7013227341579397,10000,0.0054947050832891324,5679.8362
8310,-0.7030984254353487,10000,0.00474893036266443,7944.816
11180,-0.7044420892823634,10000,0.00412854792277544,10922.4386
15581,-0.7060753269167593,10000,0.003577054315100499,15640.3449
21335,-0.7073482809469729,10000,0.0031219313380872245,21939.4178
29213,-0.7085903605322079,5464,0.0026426770346596492,30793.373169838946
40000,-0.7098010404932787,3143,0.0023296364503805843,43292.30003181673
