n,energy,energy_samples,energy_std,t
74,-0.6643621185305457,3500,0.04173091952675533,499.0822857142857
102,-0.6767027489211975,3500,0.03442193494175098,974.7931428571428
139,-0.6872896885766053,3500,0.028104084891368182,1848.4042857142856
191,-0.6971820154662203,3500,0.02291852695828067,3550.5302857142856
262,-0.7047388703046055,3500,0.018689050627383758,6780.7708571428575
358,-0.7121615436633656,3500,0.015068970842133742,12891.437142857143
491,-0.7188465806339014,3500,0.012079833128617603,24480.01257142857
672,-0.724214124386186,3500,0.01015429125928605,46390.171428571426
920,-0.7293877028782583,3500,0.008125468249643188,87653.55657142858
1261,-0.7339620127866271,3500,0.006468530945392053,165624.674
1726,-0.7379714959343331,3500,0.005232210396893556,312135.6245714286
2364,-0.7418164146517574,3500,0.00418295663473177,588842.506
3237,-0.7447933219994625,3500,0.003382039872522087,1107660.984857143
4432,-0.747526934739565,2816,0.0026968196595697023,2083120.9907670454
6086,-0.7498734034234144,3500,0.0021732977128200775,3935697.92
8310,-0.7518544044287712,3500,0.0017501079845450953,7355090.543714286
11180,-0.7535757903852791,3500,0.001393900654627541,13334028.372
15581,-0.7551189979335444,1031,0.001081595024064871,25927742.800193988
21335,-0.7563774308565835,654,0.0009092663297023175,48660335.03363914
29213,-0.7574242808801906,184,0.0006760383989152611,91240937.26630434
40000,-0.7584183234184785,64,0.000551228631079362,171371212.46875
